case_id,scenario,task_a_expected,task_b_expected,relationship_expected,regulatory_disposition_expected,decision_rule,controlling_sources,failure_mode_tested
EC-012,Father and adult child own separate carriers at same address,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,FAMILIAL_RELATIONSHIP:SUPPORTED;SHARES_ADDRESS_WITH,none,Family relationship is separately disclosed relation,S04,familial bias
EC-013,Two unrelated carriers use same outsourced dispatch phone number,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,SHARES_CONTACT_WITH,none,Shared contact service does not prove identity,"S01,S02,S06",phone collision
EC-014,Two carriers use same insurer,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,SHARES_INSURANCE_WITH,none,Common insurer is non-dispositive,"S01,S02",insurance collision
EC-015,Vehicle sold from Carrier A to Carrier B; VIN appears under both at different times,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,ASSET_TRANSFER_TO;SHARES_EQUIPMENT_WITH over time,none,Legitimate asset purchase is known false-link mechanism,"S01,S06",equipment collision
EC-016,Owner-operator leases tractor to Carrier B while retaining separate business,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,EQUIPMENT_LEASE_RELATION,none,Equipment use is not legal-person identity,"S03,S06",lease/equipment collapse
EC-017,Carrier A acquires Carrier B's stock; B survives as corporation,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,ACQUIRED_BY,none,Acquisition can preserve target entity,S03,acquisition collapse
EC-018,Carrier A and B merge into newly formed Carrier C; A/B dissolve,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,A PREDECESSOR_OF C; B PREDECESSOR_OF C,none,New legal person/new USDOT possible after merger,S03,merger identity collapse
EC-019,New Carrier C receives transferred operating authority from predecessor after merger,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,OPERATING_AUTHORITY_TRANSFERRED_TO;PREDECESSOR_OF,none,OA transfer does not imply same person,S03,MC/OA identity shortcut
EC-020,Carrier A buys all assets of B but no corporate stock/entity,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,ASSET_TRANSFER_TO;possible operational continuity,none,Asset continuity is not person identity,"S03,S06",asset continuity collapse
EC-021,Observation claims USDOT assigned by FMCSA to another legal person,UNRESOLVED_OR_DISTINCT_ACTOR,ASSIGNMENT_CONTRADICTED,POSSIBLE_IMPERSONATION,none,Claimed identifier is not authoritative assignment,S03,stolen-identifier tautology
EC-022,Commercial tender has one-digit USDOT typo; other authoritative evidence identifies sender,SAME_OR_UNRESOLVED_PER_EVIDENCE,ASSIGNMENT_CONTRADICTED_OR_CORRUPTED,TYPO_CANDIDATE,none,Do not let typo alone split/merge; preserve claim,"S03,S14",identifier corruption
EC-023,Observation missing USDOT but official state ID + historical FMCSA evidence establish same corporation,SAME_LEGAL_PERSON,UNRESOLVED_OR_CONFIRMED_BY_OTHER_FMCSA_RECORD,none,none,Task A can resolve without visible USDOT,"S03,S14",missing anchor
EC-024,Two records share USDOT because one is a duplicate extract of same FMCSA record,SAME_LEGAL_PERSON,ASSIGNMENT_CONFIRMED,DUPLICATE_OBSERVATION,none,Duplicate observations cluster to same person,S03,trivial duplicate
EC-025,Two observations share USDOT but official FMCSA correction shows one historic record was erroneous,UNRESOLVED_UNTIL_CORRECTION_APPLIED,ASSIGNMENT_CONFLICT_RESOLVED_BY_AUTHORITY,CORRECTION_EVENT,none,Preserve erroneous observation and correction chronology,"S03,S14",correction erasure
EC-026,Different corporations with confusingly identical legal names in different states,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,SIMILAR_PUBLIC_NAME_TO,none,Name coincidence is documented false-link mechanism,S06,name collision
EC-027,Same corporation uses DBA different from legal name,SAME_LEGAL_PERSON,REGISTRANT_CONTINUITY_SAME,DBA_OF,none,"DBA is alias/name, not separate person","S03,S05",DBA category error
EC-028,Two different legal persons use similar DBAs,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,SIMILAR_PUBLIC_NAME_TO,none,Trade-name similarity is non-dispositive,S06,DBA collision
EC-029,State record says entity dissolved; later FMCSA extract still says registration active,DISTINCT_PREDICATES_NOT_DIRECT_CONFLICT,UNRESOLVED_CURRENT_OPERATIONAL_STATUS,STATE_DISSOLUTION + FMCSA_STATUS_OBSERVATION,none,State legal status and federal registration status are different predicates,"S03,S04",state/federal status conflation
EC-030,State corporation active; FMCSA registration inactive,SAME_LEGAL_PERSON_ACROSS_OBSERVATIONS,REGISTRATION_STATUS_INACTIVE,none,none,Legal existence is not FMCSA operating status,"S03,S04",status conflation
EC-031,Two distinct carriers share manager and customers but operate simultaneously,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,COMMON_MANAGEMENT;SHARES_CUSTOMERS,none,Several continuity factors can exist among separate firms,"S01,S02",multi-factor overmerge
EC-032,New company created immediately after old carrier ceases; owners/managers/equipment/insurance/facility/customers overlap,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,SUBSTANTIAL_CONTINUITY_SUPPORTED,REINCARNATION_REVIEW_CANDIDATE only,Continuity can be strong while legal persons remain distinct,"S01,S02,S09",continuity=identity error
EC-033,Same as EC-032 but no adverse history/motive evidence,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,SUBSTANTIAL_CONTINUITY_SUPPORTED,NO_CONFIRMED_REINCARNATION,Legitimate business purpose cannot be inferred away,"S01,S02",motive contamination
EC-034,Same as EC-032 with severe prior adverse history but no authoritative order,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,SUBSTANTIAL_CONTINUITY_SUPPORTED,REINCARNATION_REVIEW_CANDIDATE,Bad history does not change Task A identity label,"S01,S06",bad-actor merge
EC-035,Final FMCSA §386.73 order determines reincarnation between two distinct entities,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,SUBSTANTIAL_CONTINUITY_SUPPORTED,FMCSA_FINAL_REINCARNATION_DISPOSITION,Regulatory finding does not collapse legal persons,S01,order=node collapse
EC-036,FMCSA §386.73 order served but timely review petition stays it,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,as supported by evidence,ORDER_SERVED;ORDER_STAYED;NOT_FINAL,Procedural status must be preserved,S01,premature finality
EC-037,Final FMCSA order later rescinded after corrective action,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,historical relation retained,ORDER_RESCINDED_AFTER_FINAL,"Later rescission changes disposition status, not historical observations",S01,history erasure
EC-038,FMCSA consolidates records of current and affiliated entities,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,AFFILIATED_WITH as ordered,FMCSA_RECORDS_CONSOLIDATED,Agency record consolidation is not entity merge,S01,record-consolidation collapse
EC-039,"Common owner + same address + same insurer, but separately incorporated and simultaneous independent operations",DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,AFFILIATED_WITH;multiple shared factors,none,Preamble warns separate fleets can share many factors,S02,totality overmerge
EC-040,Only vendor aggregator says two firms are same; official sources unavailable,UNRESOLVED,UNRESOLVED,UNKNOWN,none,Non-authoritative candidate evidence cannot force label,S14,vendor-as-authority
EC-041,Two competent state records conflict on same legal status/date and no correction is available,UNRESOLVED,UNRESOLVED,UNKNOWN,none,Genuine authoritative conflict remains unresolved,S14,forced majority vote
EC-042,"Later merger filing proves relation, but model feature cutoff predates filing",GOLD_MAY_USE_LATER_EVIDENCE;MODEL_MAY_NOT,as applicable,PREDECESSOR_OF label-only after cutoff,none,Retrospective adjudication cannot leak future features,"S01,S09",temporal leakage
EC-043,Model receives final FMCSA reincarnation order that occurred after prediction date,GOLD_LABEL_UNCHANGED;FEATURE_PROHIBITED,as applicable,label-only,final disposition,Post-cutoff order is prohibited input,S01,future-order leakage
EC-044,Carrier has both carrier and broker roles under same legal person with separate registrations,SAME_LEGAL_PERSON,REGISTRATIONS_SEPARATE_BY_ROLE,HAS_ROLE multiple,none,Roles/registrations do not create extra persons,"S04,S05",role/entity duplication
EC-045,Carrier LLC and broker LLC share owner but are separately formed,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,COMMON_OWNERSHIP,none,Separate persons despite functional complementarity,S04,role/corporate-group collapse
EC-046,Individual John Doe d/b/a Doe Trucking compared to trade name Doe Trucking,SAME_LEGAL_PERSON,REGISTRANT_CONTINUITY_SAME,DBA_OF,none,DBA maps to natural person sole proprietor,"S03,S05",trade-name personification
EC-047,Individual owner John Doe compared to John Doe Inc.,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT_UNLESS_POLICY_EXCEPTION_APPLIES,OWNED_BY/possibly conversion,none,Natural person and corporation are separate legal persons,S03,owner/corporation conflation
EC-048,Same SCAC Verified status appears across renewal events for a carrier,NO_EFFECT_ON_LEGAL_PERSON_LABEL_WITHOUT_ENTITY_EVIDENCE,not a USDOT determination,SCAC_ASSIGNED_TO/verification event,none,"SCAC verification is trade-credential evidence, not legal-person ground truth",S11,SCAC=legal identity
EC-049,Verified human completes SCAC process for company account,NO_EFFECT_ON_COMPANY_LEGAL_PERSON_IDENTITY_BY_ITSELF,not applicable,HumanActor authorized/verified,none,Human identity proofing is distinct from organizational identity,"S10,S11",human/company conflation
EC-050,One Motus user accesses two company accounts,DISTINCT_OR_SAME_DEPENDS_ON_COMPANIES_NOT_USER,not applicable,HumanActor ACCESS_TO multiple CompanyAccounts,none,One human can act for multiple organizations,S10,user-account merge
EC-051,"Two company accounts accidentally created for same corporation, both linked to same authoritative legal person",SAME_LEGAL_PERSON,depends on registrations,MULTIPLE_ACCOUNTS_FOR_SAME_PERSON,none,Digital account identity is not legal-person identity,S10,account/entity duplication
EC-052,Different legal persons share a commercial parent LEI relationship,DISTINCT_LEGAL_PERSON,not determined by LEI,OWNED_BY,none,External identity system also separates who-is-who/ownership,S12,ownership collapse
EC-053,Two records disagree only because one source is stale old address,SAME_OR_DISTINCT_DECIDED_BY_ENTITY_EVIDENCE,as applicable,ADDRESS_CHANGED,none,Stale evidence remains historically valid but not current,"S01,S14",staleness misread
EC-054,Two records have no decisive IDs; names/address/phone all similar; no authoritative corporate source retrieved,UNRESOLVED,UNRESOLVED,possible shared factors,none,Ambiguous case must abstain,"S02,S06,S14",forced binary
EC-055,Two records have many agreeing fields but authoritative state records prove separate simultaneous corporations,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,shared factors,none,Authoritative legal distinctness defeats fuzzy similarity,"S02,S06",similarity overrule
EC-056,One record has bad safety history and another clean record has weak name/address overlap only,DISTINCT_OR_UNRESOLVED_FROM_IDENTITY_EVIDENCE_ONLY,as applicable,UNKNOWN,motive may create review candidate only,Adverse history cannot supply missing identity evidence,"S06,S07",motive circularity
EC-057,Candidate-generation model score is shown to adjudicator before label,PROTOCOL_VIOLATION,PROTOCOL_VIOLATION,PROTOCOL_VIOLATION,none,Gold labels must be blinded from tested model/candidate score,S13,reviewer anchoring/leakage
EC-058,Two primary reviewers disagree and third reviewer also says evidence insufficient,UNRESOLVED,UNRESOLVED,UNKNOWN,none,Third reviewer need not force match/nonmatch,"S13,S14",adjudicator forced binary
EC-059,Pair labels imply A=B and B=C but A≠C for same time/version,PROTOCOL_VIOLATION,as applicable,none,none,Same-legal-person must be transitive; cluster must be repaired,S12,transitivity failure
EC-060,Benchmark gold label built from USDOT assignment and tested model sees that exact authoritative USDOT field,LABEL_MAY_BE_VALID_BUT_F0_CONTROL_ONLY,ASSIGNMENT_CONFIRMED,none,none,"Result is identifier lookup, not headline ER evidence; use masked/corrupted regimes",S03,benchmark tautology
EC-061,Two legally distinct carriers operate simultaneously under common ownership/control and share several operational factors,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,AFFILIATED_WITH:SUPPORTED,none absent authoritative order,Simultaneous related operation can support affiliation; common control does not create legal-person equality,"S01,S15",affiliate-to-identity collapse
EC-062,Later one of the EC-061 carriers ceases and the other continues substantially the same operation; no final agency order exists,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,SUBSTANTIAL_CONTINUITY_SUPPORTED if adjudicated evidence sufficient,REINCARNATION_REVIEW_CANDIDATE at most,Relationship state is time-indexed; analytical continuity is not final regulatory reincarnation,"S01,S15",temporal relationship collapse
EC-063,Final FMCSA §386.73 order after contested review finds one distinct carrier reincarnated as another,DISTINCT_LEGAL_PERSON,REGISTRANT_CONTINUITY_DISTINCT,SUBSTANTIAL_CONTINUITY_SUPPORTED; final disposition edge,FMCSA_FINAL_REINCARNATION_DISPOSITION,Final order is authoritative disposition about distinct entities; it does not merge their legal-person nodes,"S01,S15",final-order node collapse
EC-064,Texas Comptroller shows forfeited or no right to transact while Secretary-of-State filing history still identifies the same corporation,SAME_LEGAL_PERSON if official entity ID/history matches,as applicable,TAX_RIGHT_TO_TRANSACT_STATUS separate from legal-person identity,none,Comptroller right-to-transact status and SOS corporate-file identity are different predicates,S16,tax-status/legal-existence conflation
EC-065,Two Louisiana entities have confusingly similar names but different official charter/entity numbers,DISTINCT_LEGAL_PERSON,as applicable,UNKNOWN unless separate evidence supports relation,none,Official jurisdiction-qualified entity identifiers defeat name-only similarity,S16,state name collision
EC-066,"Official state source cannot yet be retrieved because access requires CAPTCHA, paid portal, or manual document order; vendor aggregator claims a match",UNRESOLVED unless other competent authoritative evidence suffices,as applicable,UNKNOWN,none,Do not silently substitute a lower-authority aggregator when the competent state source is unavailable,"S16,S14",access-pressure source downgrading
EC-067,Texas SOS filing history establishes a corporate transaction while a third-party profile still shows stale pre-transaction name/status,DECIDED_FROM_OFFICIAL_TRANSACTION_RECORD,as applicable,TRANSACTION_TYPED_FROM_OFFICIAL_FILING,none,Predicate-competent official transaction filing controls over stale vendor profile; preserve old observation historically,"S16,S14",stale vendor override
EC-068,"A final agency reincarnation order is later stayed, rescinded, or reversed by a controlling later disposition",LEGAL_PERSON_LABEL_UNCHANGED,as applicable,historical relationship evidence preserved,CURRENT_STATUS_FROM_LATEST_CONTROLLING_DISPOSITION,Disposition history is append-only and status-bearing; later controlling process changes current regulatory conclusion without rewriting entity identity,"S01,S15",procedural-status overwrite
EC-069,Gold legal-person cluster was built from an official state entity ID and the tested model receives that exact canonical state entity ID,LABEL_MAY_BE_VALID_BUT_ANCHOR_VISIBLE_CONTROL_ONLY,as applicable,none,none,Exact state identity anchor creates the same tautology risk as exact authoritative USDOT; headline ER requires masked/missing/corrupted regimes,"S16,S03",state-identifier benchmark tautology
EC-070,One legal corporation uses several DBAs/brands and maintains branch addresses; official state entity ID and FMCSA assignment tie observations to one person,SAME_LEGAL_PERSON,ASSIGNMENT_CONFIRMED,DBA_OF;BRANCH/ADDRESS observations,none,Trade names and locations are observations/attributes of the same person when authoritative identity evidence establishes continuity,"S03,S05,S16",brand/branch false split
